ObjectID,Name,OriginID,Destinatio,Destinat_1,Total_tota,Total_BusL,Total_time
11252,STORE-68 - STORE-128,68,128,63,17.30494220680,22.08329599400,1.73049420590
11303,STORE-68 - STORE-129,68,129,114,60.57492677900,25.90297377690,6.05749250459
11320,STORE-68 - STORE-130,68,130,131,66.78831391960,25.90297377690,6.67883123821
11258,STORE-68 - STORE-131,68,131,69,17.82698063230,23.00483565960,1.78269804827
11313,STORE-68 - STORE-132,68,132,124,65.15571551380,25.90297377690,6.51557139982
11264,STORE-68 - STORE-133,68,133,75,18.99426616510,25.60940270910,1.89942660321
11306,STORE-68 - STORE-134,68,134,117,62.76756471590,25.90297377690,6.27675629446
11305,STORE-68 - STORE-135,68,135,116,61.81963330400,25.90297377690,6.18196317424
11317,STORE-68 - STORE-136,68,136,128,65.83036528740,25.90297377690,6.58303636210
11316,STORE-68 - STORE-137,68,137,127,65.52571011810,25.90297377690,6.55257084143
11326,STORE-68 - STORE-138,68,138,137,67.86292372590,25.90297377690,6.78629219787
11319,STORE-68 - STORE-139,68,139,130,66.64386892460,25.90297377690,6.66438673059
11324,STORE-68 - STORE-140,68,140,135,67.07874852180,25.90297377690,6.70787472064
11328,STORE-68 - STORE-141,68,141,139,68.51877235980,25.90297377690,6.85187708796
11329,STORE-68 - STORE-142,68,142,140,68.99774258280,25.90297377690,6.89977411402
